medicine,description_url,company,company_url,price
WISFAST,//www.medicineindia.org/medicine-brand-details/13298/wisfast,Wisdom Pharma Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/423/wisdom-pharma-pvt-ltd,6.00
WYGESIC,//www.medicineindia.org/medicine-brand-details/1374/wygesic,Wyeth Lederle Limited,//www.medicineindia.org/medicine-manufacturing-company/9/wyeth-lederle-limited,7.00
WIKORYL-ND,//www.medicineindia.org/medicine-brand-details/10420/wikoryl-nd,Alembic Ltd.,//www.medicineindia.org/medicine-manufacturing-company/52/alembic-ltd,9.01
WYPAL,//www.medicineindia.org/medicine-brand-details/5998/wypal,Jagsonpal Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/151/jagsonpal-pharmaceuticals-ltd,10.60
WALAPHAGE GP,//www.medicineindia.org/medicine-brand-details/14988/walaphage-gp,Wallace Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/148/wallace-pharmaceuticals-ltd,19.85
WOTINEX,//www.medicineindia.org/medicine-brand-details/6785/wotinex,Wockhardt Ltd.,//www.medicineindia.org/medicine-manufacturing-company/13/wockhardt-ltd,21.42
WALAPHAGE PZ,//www.medicineindia.org/medicine-brand-details/15032/walaphage-pz,Wallace Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/148/wallace-pharmaceuticals-ltd,23.95
WICET PLUS,//www.medicineindia.org/medicine-brand-details/10604/wicet-plus,Wisdom Pharma Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/423/wisdom-pharma-pvt-ltd,29.50
WILCLOX,//www.medicineindia.org/medicine-brand-details/3186/wilclox,Vision Medlink,//www.medicineindia.org/medicine-manufacturing-company/264/vision-medlink,30.00
WISAVIT,//www.medicineindia.org/medicine-brand-details/18186/wisavit,Wisdom Pharma Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/423/wisdom-pharma-pvt-ltd,31.00
WALAPHAGE PZ,//www.medicineindia.org/medicine-brand-details/15032/walaphage-pz,Wallace Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/148/wallace-pharmaceuticals-ltd,32.35
WAFER,//www.medicineindia.org/medicine-brand-details/18093/wafer,Wave Bio-Tech Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/273/wave-bio-tech-pvt-ltd,35.00
WALAPHAGE GP,//www.medicineindia.org/medicine-brand-details/14988/walaphage-gp,Wallace Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/148/wallace-pharmaceuticals-ltd,36.00
WISER-DK,//www.medicineindia.org/medicine-brand-details/1887/wiser-dk,Windlas Biotech Ltd.,//www.medicineindia.org/medicine-manufacturing-company/458/windlas-biotech-ltd,39.00
WISNAC-S,//www.medicineindia.org/medicine-brand-details/1888/wisnac-s,Wisdom Pharma Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/423/wisdom-pharma-pvt-ltd,42.50
WALFORMIN,//www.medicineindia.org/medicine-brand-details/14915/walformin,Wallace Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/148/wallace-pharmaceuticals-ltd,43.40
WISOFLOX-OZ,//www.medicineindia.org/medicine-brand-details/14164/wisoflox-oz,Wisdom Pharma Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/423/wisdom-pharma-pvt-ltd,45.00
WISNAC-SP,//www.medicineindia.org/medicine-brand-details/1899/wisnac-sp,Wisdom Pharma Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/423/wisdom-pharma-pvt-ltd,47.50
WINCIP DS,//www.medicineindia.org/medicine-brand-details/13960/wincip-ds,RPG Life Sciences Ltd.,//www.medicineindia.org/medicine-manufacturing-company/102/rpg-life-sciences-ltd,63.00
WIBATOL-O,//www.medicineindia.org/medicine-brand-details/14176/wibatol-o,Advik Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/532/advik-laboratories-ltd,70.00
WOKEX - 2,//www.medicineindia.org/medicine-brand-details/6394/wokex-2,Wockhardt Ltd.,//www.medicineindia.org/medicine-manufacturing-company/13/wockhardt-ltd,70.20
WISTRAN-MF,//www.medicineindia.org/medicine-brand-details/16863/wistran-mf,Wisdom Pharma Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/423/wisdom-pharma-pvt-ltd,90.00
WYPAL,//www.medicineindia.org/medicine-brand-details/5998/wypal,Jagsonpal Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/151/jagsonpal-pharmaceuticals-ltd,50.00
WYPAL,//www.medicineindia.org/medicine-brand-details/5998/wypal,Jagsonpal Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/151/jagsonpal-pharmaceuticals-ltd,80.00
WELPRIM,//www.medicineindia.org/medicine-brand-details/5997/welprim,Vision Medlink,//www.medicineindia.org/medicine-manufacturing-company/264/vision-medlink,18.00
WALADROX-AX,//www.medicineindia.org/medicine-brand-details/3886/waladrox-ax,Wallace Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/148/wallace-pharmaceuticals-ltd,13.20
WALAGAT-OZ,//www.medicineindia.org/medicine-brand-details/13723/walagat-oz,Wallace Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/148/wallace-pharmaceuticals-ltd,23.70
WOKEX-4FD,//www.medicineindia.org/medicine-brand-details/6373/wokex-4fd,Wockhardt Ltd.,//www.medicineindia.org/medicine-manufacturing-company/13/wockhardt-ltd,35.80
