medicine,description_url,company,company_url,price
WIN-BP,//www.medicineindia.org/medicine-brand-details/18677/win-bp,Piramal Healthcare Ltd.,//www.medicineindia.org/medicine-manufacturing-company/107/piramal-healthcare-ltd,120.00
WIN-400,//www.medicineindia.org/medicine-brand-details/7173/win-400,Arvind Remedies Ltd.,//www.medicineindia.org/medicine-manufacturing-company/406/arvind-remedies-ltd,10.00
WORMIN-A,//www.medicineindia.org/medicine-brand-details/7177/wormin-a,Le Sante,//www.medicineindia.org/medicine-manufacturing-company/443/le-sante,10.28
WOCID,//www.medicineindia.org/medicine-brand-details/7174/wocid,RATCHET BIOTECH,//www.medicineindia.org/medicine-manufacturing-company/328/ratchet-biotech,11.00
WORMPEL,//www.medicineindia.org/medicine-brand-details/7178/wormpel,Aglowmed Limited,//www.medicineindia.org/medicine-manufacturing-company/247/aglowmed-limited,11.60
WOMIBAN,//www.medicineindia.org/medicine-brand-details/7175/womiban,Blue Cross Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/67/blue-cross-laboratories-ltd,15.00
WALASA,//www.medicineindia.org/medicine-brand-details/13364/walasa,Wallace Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/148/wallace-pharmaceuticals-ltd,49.00
WALSA,//www.medicineindia.org/medicine-brand-details/13365/walsa,Wallace Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/148/wallace-pharmaceuticals-ltd,49.12
WISOFLOX,//www.medicineindia.org/medicine-brand-details/5075/wisoflox,Wisdom Pharma Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/423/wisdom-pharma-pvt-ltd,53.00
WALAGAT,//www.medicineindia.org/medicine-brand-details/5420/walagat,Wallace Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/148/wallace-pharmaceuticals-ltd,19.60
WYSOLONE,//www.medicineindia.org/medicine-brand-details/2369/wysolone,Wyeth Lederle Limited,//www.medicineindia.org/medicine-manufacturing-company/9/wyeth-lederle-limited,3.83
WICET,//www.medicineindia.org/medicine-brand-details/11217/wicet,Wisdom Pharma Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/423/wisdom-pharma-pvt-ltd,17.50
WARF,//www.medicineindia.org/medicine-brand-details/8569/warf,Cipla Limited,//www.medicineindia.org/medicine-manufacturing-company/71/cipla-limited,27.82
WINOPAR,//www.medicineindia.org/medicine-brand-details/844/winopar,Intas Pharmaceuticals Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/17/intas-pharmaceuticals-pvt-ltd,6.00
WALAPHAGE,//www.medicineindia.org/medicine-brand-details/14798/walaphage,Wallace Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/148/wallace-pharmaceuticals-ltd,9.10
WALADROX,//www.medicineindia.org/medicine-brand-details/3868/waladrox,Wallace Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/148/wallace-pharmaceuticals-ltd,36.69
WIBATOL,//www.medicineindia.org/medicine-brand-details/5176/wibatol,Advik Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/532/advik-laboratories-ltd,70.00
WISTRAN,//www.medicineindia.org/medicine-brand-details/8545/wistran,Wisdom Pharma Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/423/wisdom-pharma-pvt-ltd,80.00
WYSERIN,//www.medicineindia.org/medicine-brand-details/4853/wyserin,Wyeth Lederle Limited,//www.medicineindia.org/medicine-manufacturing-company/9/wyeth-lederle-limited,13.69
WINTOMYLON,//www.medicineindia.org/medicine-brand-details/4621/wintomylon,Manufacturer Not Mentioned,//www.medicineindia.org/medicine-manufacturing-company/43/manufacturer-not-mentioned,22.79
WIDCEF,//www.medicineindia.org/medicine-brand-details/3990/widcef,Elder Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/88/elder-pharmaceuticals-ltd,225.00
WINOPAR,//www.medicineindia.org/medicine-brand-details/844/winopar,Intas Pharmaceuticals Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/17/intas-pharmaceuticals-pvt-ltd,7.00
WALAPHAGE,//www.medicineindia.org/medicine-brand-details/14798/walaphage,Wallace Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/148/wallace-pharmaceuticals-ltd,13.15
WITORI,//www.medicineindia.org/medicine-brand-details/2171/witori,Wisdom Pharma Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/423/wisdom-pharma-pvt-ltd,52.50
WINDAMET,//www.medicineindia.org/medicine-brand-details/14933/windamet,Glaxo Smithkline,//www.medicineindia.org/medicine-manufacturing-company/8/glaxo-smithkline,61.20
WARCLAV,//www.medicineindia.org/medicine-brand-details/3406/warclav,Parke - Davis (India) Ltd.,//www.medicineindia.org/medicine-manufacturing-company/144/parke-davis-india-ltd,232.00
WALADROX,//www.medicineindia.org/medicine-brand-details/3868/waladrox,Wallace Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/148/wallace-pharmaceuticals-ltd,20.57
WARCILIN,//www.medicineindia.org/medicine-brand-details/3319/warcilin,Parke - Davis (India) Ltd.,//www.medicineindia.org/medicine-manufacturing-company/144/parke-davis-india-ltd,59.00
WYMOX,//www.medicineindia.org/medicine-brand-details/3321/wymox,Wyeth Lederle Limited,//www.medicineindia.org/medicine-manufacturing-company/9/wyeth-lederle-limited,90.64
WALAPHAGE-SR,//www.medicineindia.org/medicine-brand-details/14799/walaphage-sr,Wallace Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/148/wallace-pharmaceuticals-ltd,20.80
WISOFLOX-OD,//www.medicineindia.org/medicine-brand-details/5076/wisoflox-od,Wisdom Pharma Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/423/wisdom-pharma-pvt-ltd,75.00
WALAPHAGE-SR,//www.medicineindia.org/medicine-brand-details/14799/walaphage-sr,Wallace Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/148/wallace-pharmaceuticals-ltd,13.85
WOKADINE VAG.,//www.medicineindia.org/medicine-brand-details/16101/wokadine-vag,Wockhardt Ltd.,//www.medicineindia.org/medicine-manufacturing-company/13/wockhardt-ltd,41.31
WIDCEF,//www.medicineindia.org/medicine-brand-details/3990/widcef,Elder Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/88/elder-pharmaceuticals-ltd,180.00
WOMASTIN,//www.medicineindia.org/medicine-brand-details/16999/womastin,Khandelwal Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/98/khandelwal-laboratories-ltd,850.00
WOMASTIN,//www.medicineindia.org/medicine-brand-details/16999/womastin,Khandelwal Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/98/khandelwal-laboratories-ltd,1800.00
WIDCEF,//www.medicineindia.org/medicine-brand-details/3990/widcef,Elder Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/88/elder-pharmaceuticals-ltd,95.00
